model,batch,seq,mode,config,prec,freq,measured_time,measured_energy,temp,gee_time,gee_energy,measured_freq,gee_time_abs_pct_err,gee_energy_abs_pct_err
gpt2model,8,128,prefill,gpt2,bf16,510,9.99740178134584,0.8326613051828837,62.94133254716981,14.71012714903271,0.9943504021292726,509.9999999999999,47.13950155009623,19.418351247975416
gpt2model,8,128,prefill,gpt2,bf16,600,9.932374606439302,0.8085945058117996,58.960742134982496,12.78520240529874,0.9074613653427336,599.9999999999999,28.72251512754975,12.227001150802435
gpt2model,8,128,prefill,gpt2,bf16,690,8.014802753985714,0.7213017301700156,58.77965003240439,11.362092278404347,0.8467213928621868,689.9999999999998,41.76384157119831,17.38796088325047
gpt2model,8,128,prefill,gpt2,bf16,780,9.959501599123378,0.8186892636501029,58.12997213073221,10.332361895849273,0.8033984111415817,779.9999999999999,3.7437646152766657,1.8677235903091365
gpt2model,8,128,prefill,gpt2,bf16,870,7.898092616268278,0.7254466314199762,58.69250078443677,9.51644564889054,0.7742357756625634,869.9999999999998,20.490428654746616,6.725394002738448
gpt2model,8,128,prefill,gpt2,bf16,960,7.9347347369993235,0.7328550885462993,59.309042729380586,8.861668711011966,0.7502990608847375,960.0000000000002,11.681978096764713,2.3802758022790402
gpt2model,8,128,prefill,gpt2,bf16,1050,8.000260548816549,0.7602224967110507,59.88987341772152,8.331521680218385,0.7453574439892794,1050.0000000000002,4.140629288015362,1.955355542105364
gpt2model,8,128,prefill,gpt2,bf16,1140,7.893670793709894,0.824756335979318,61.13350958360873,7.883230478896639,0.7653195240624369,1140.0000000000002,0.132261847321716,7.206590519405427
gpt2model,8,128,prefill,gpt2,bf16,1230,7.801352736945143,0.8989813862266784,62.51184210526316,7.5021896376295425,0.8101578195527803,1230.0000000000002,3.8347592962800277,9.880467831121614
gpt2model,8,128,prefill,gpt2,bf16,1320,7.820931748498844,1.020013576346168,64.04382470119522,7.172386080451398,0.8863035767983278,1320.0,8.292434826220399,13.108649007085587
gpt2model,8,128,prefill,gpt2,bf16,1410,9.905381416874365,1.3804120673202456,65.61711366538952,6.886790174127753,0.9808269723979512,1410.0,30.47425551533306,28.946798161363326
gpt2model,32,512,prefill,gpt2,bf16,510,116.0033732435129,15.36685433385494,66.8274193548387,89.99817586620719,11.6476574991956,509.9999999999999,22.41762170373779,24.20272069909275
gpt2model,32,512,prefill,gpt2,bf16,600,103.76795159011591,14.54403451752897,65.32696046662346,81.53030877801406,11.272968777261916,599.9999999999999,21.430164584862084,22.49077266919749
gpt2model,32,512,prefill,gpt2,bf16,690,93.93660203945002,14.105115823053046,65.77767021619877,75.30551460682642,11.02598420256184,689.9999999999999,19.8336825349497,21.829892495166543
gpt2model,32,512,prefill,gpt2,bf16,780,85.06606727518061,13.765330273852552,66.81270252754376,70.51691043420306,10.83274491037508,780.0,17.103361313169003,21.304140947841702
gpt2model,32,512,prefill,gpt2,bf16,870,78.04346438681725,13.464081657718902,67.87085230969421,66.74459023066751,10.71809306642469,869.9999999999998,14.47766862340659,20.394919320174715
gpt2model,32,512,prefill,gpt2,bf16,960,73.23779117229373,13.310540331145775,68.69228264408987,63.697520421356224,10.624625536821156,960.0000000000005,13.02643157068156,20.178856210966565
gpt2model,32,512,prefill,gpt2,bf16,1050,69.10636079938789,13.643887452132349,70.12264150943395,61.17013362239452,10.817165596338354,1050.0000000000002,11.484076263300583,20.717862601191552
gpt2model,32,512,prefill,gpt2,bf16,1140,65.66176185528272,14.730319407953848,72.6205997392438,59.01597905983128,11.357249448975177,1140.0000000000002,10.121237395515854,22.898824292685287
gpt2model,32,512,prefill,gpt2,bf16,1230,64.28048195626572,15.490499834049086,74.66709719082981,57.20579348813353,12.359075286196235,1185.6683887633194,11.00596674577762,20.21512915270677
gpt2model,32,512,prefill,gpt2,bf16,1320,64.26745098129457,15.495094280636264,75.05684754521961,55.66038640448448,13.825208558210129,1187.892441860465,13.392571893531663,10.776867130863087
gpt2model,32,512,prefill,gpt2,bf16,1410,64.27257167182954,15.600793445130591,75.4127906976744,54.342052329775925,15.59755163879824,1191.5406976744189,15.45063326975312,0.020779752925727066
qwen2model,1,128,prefill,qwen2-1p5b,bf16,510,34.664620966665844,2.3921179767971106,60.06284418529316,43.08234479688628,2.666978200600452,509.9999999999998,24.2833286373305,11.490245316886979
qwen2model,1,128,prefill,qwen2-1p5b,bf16,600,26.38346944304979,1.953238670657222,56.946204620462055,36.94844726063063,2.395133360795334,599.9999999999999,40.043929174614206,22.62369145033485
qwen2model,1,128,prefill,qwen2-1p5b,bf16,690,34.39803119412476,2.337167086576278,55.43412033511045,32.414300720413564,2.204001351216257,689.9999999999998,5.766988414296287,5.697741343563764
qwen2model,1,128,prefill,qwen2-1p5b,bf16,780,34.664760317121235,2.36727276734939,54.91157347204162,28.9264762228783,2.0543295552075844,780.0000000000002,16.553652879026963,13.219567109378985
qwen2model,1,128,prefill,qwen2-1p5b,bf16,870,26.745641515368504,1.9908676060584127,55.26247147049234,26.437689443067523,1.9625026653906323,869.9999999999999,1.1514103040827304,1.4247527350117604
qwen2model,1,128,prefill,qwen2-1p5b,bf16,960,27.010772301226247,2.0256243426574736,55.50806972240157,24.479286138313785,1.8890163840693848,960.0000000000005,9.372135437969451,6.74399273899271
qwen2model,1,128,prefill,qwen2-1p5b,bf16,1050,33.92420362119805,2.454947287994909,55.701940491591216,22.95156751365258,1.8646396063807469,1050.0000000000002,32.344565048799126,24.04563570472012
qwen2model,1,128,prefill,qwen2-1p5b,bf16,1140,26.70265186524772,2.235250000299176,56.66709719082985,21.712722823116003,1.904055398259472,1140.0000000000005,18.687016807592364,14.81689305426129
qwen2model,1,128,prefill,qwen2-1p5b,bf16,1230,26.837667097916476,2.448055892883523,58.04387096774194,20.66427627678448,1.9995321745797825,1230.0000000000002,23.002710327274546,18.321628995791933
qwen2model,1,128,prefill,qwen2-1p5b,bf16,1320,33.97564752114251,3.1937305672648453,59.45764920510816,19.757589813063607,2.1708962283254056,1320.0,41.84779024220578,32.02631898330137
qwen2model,1,128,prefill,qwen2-1p5b,bf16,1410,34.40844683357365,3.4793954375425096,51.708594007244,18.970589370214736,2.385358399028417,1410.0,44.866475775638904,31.44330841816614
optmodel,2,128,prefill,opt-1p3b,bf16,510,20.976962337481407,1.880677899097413,54.69398207426378,30.3786721533778,2.437562556974088,509.9999999999999,44.819214835016986,29.610847138892776
optmodel,2,128,prefill,opt-1p3b,bf16,600,18.573345680985657,1.802881794325612,58.06679389312978,26.151123519320716,2.2464627458690942,599.9999999999999,40.79920746908168,24.603995277982644
optmodel,2,128,prefill,opt-1p3b,bf16,690,16.815733800296325,1.741279822440762,60.35538752362948,23.02601650946428,2.112184528890769,689.9999999999998,36.93138094906402,21.300695136414536
optmodel,2,128,prefill,opt-1p3b,bf16,780,17.09941283592273,1.7654448370055034,61.46995884773664,20.62208885878533,2.007078021164486,779.9999999999998,20.60115196155801,13.686815871790929
optmodel,2,128,prefill,opt-1p3b,bf16,870,13.661531150512946,1.5966786160726434,62.78298397040691,18.862271183351613,1.940542031462333,869.9999999999998,38.06850034260908,21.53616964167102
optmodel,2,128,prefill,opt-1p3b,bf16,960,13.957664961426396,1.62545379103356,62.35963983050847,17.45122637640167,1.8859664913113765,960.0000000000005,25.02969819543693,16.027075129103917
optmodel,2,128,prefill,opt-1p3b,bf16,1050,13.300215482419732,1.6496844687035446,62.96159899276048,16.281866003066348,1.878473291514096,1050.0000000000005,22.418061756877332,13.868641376635631
optmodel,2,128,prefill,opt-1p3b,bf16,1140,13.26495738611185,1.7840589556709128,63.37988281249999,15.29548359511269,1.931001992233836,1140.0000000000002,15.307446152271552,8.23644510714411
optmodel,2,128,prefill,opt-1p3b,bf16,1230,12.87231449263098,1.931991417828728,64.6450016496206,14.454924317353788,2.049551545128214,1230.0000000000005,12.294679605822282,6.084919747294006
optmodel,2,128,prefill,opt-1p3b,bf16,1320,13.105037035765472,2.221418050584568,66.40500493908463,13.734375323933088,2.2432395371277067,1320.0,4.802262568583856,0.9823223745479343
optmodel,2,128,prefill,opt-1p3b,bf16,1410,12.980680971374763,2.656966164842162,69.34216552175334,13.108291020549755,2.4822643276082825,1409.9999999999998,0.9830766926357707,6.57523756025164
qwen2model,1,4096,prefill,qwen2-1p5b,bf16,510,510.6109551021031,62.6359362463724,61.87344596748485,404.71707253161645,52.35589175508157,509.9999999999999,20.73866248116667,16.412374600509313
qwen2model,1,4096,prefill,qwen2-1p5b,bf16,600,455.7132823126657,59.74887443340166,62.930868167202576,369.7920864583194,50.84544193075573,599.8070739549838,18.854222422114006,14.901422975875517
qwen2model,1,4096,prefill,qwen2-1p5b,bf16,690,409.0486297124549,57.660135257844686,63.90450507614214,343.94686691259443,49.83838819614311,689.9999999999998,15.91540909099841,13.565259649017952
qwen2model,1,4096,prefill,qwen2-1p5b,bf16,780,367.8553899129232,55.85179445880309,64.80294777314963,324.0644007363952,49.05061809568757,780.0,11.904403300137583,12.1771850466365
qwen2model,1,4096,prefill,qwen2-1p5b,bf16,870,335.20641075937374,54.64201152033053,65.87342995169082,308.2815120290098,48.59870748326567,869.9999999999998,8.032334068244259,11.059812530540421
qwen2model,1,4096,prefill,qwen2-1p5b,bf16,960,313.581576534346,53.75722349629916,66.57435897435897,295.5200544808278,48.23013039370575,960.0000000000002,5.759752295760262,10.281582163509462
qwen2model,1,4096,prefill,qwen2-1p5b,bf16,1050,296.1340877744887,55.42099935477973,67.8148861084376,284.9299136444047,49.10618124872673,1050.0000000000002,3.7834800492863905,11.394269644306563
qwen2model,1,4096,prefill,qwen2-1p5b,bf16,1140,279.05530678598507,59.247436494354616,70.00193423597678,275.8820879773079,51.51307280793563,1140.0000000000002,1.1371289961207593,13.054343181845438
qwen2model,1,4096,prefill,qwen2-1p5b,bf16,1230,268.42737197875977,64.27704457117329,72.32134831460672,268.63516817337666,55.955887009528766,1220.5377207062602,0.07741244608740289,12.945768768865214
qwen2model,1,4096,prefill,qwen2-1p5b,bf16,1320,268.1409290858677,64.3582664521522,72.8082235785416,262.59074301790133,62.46618764346837,1224.1166077738517,2.069876496246871,2.939915745074497
optmodel,8,2048,prefill,opt-1p3b,bf16,510,1718.4937000274658,215.7974837281955,64.36997487437186,1263.9608537029376,175.7187687528559,509.9999999999999,26.4494915702783,18.572373636117153
optmodel,8,2048,prefill,opt-1p3b,bf16,600,1536.627451578776,206.16602783947903,64.48999046711154,1166.9398257224984,171.50627110612857,599.9999999999998,24.05837703058406,16.811575164234412
optmodel,8,2048,prefill,opt-1p3b,bf16,690,1375.4713038603466,198.49686253112557,65.52407579993788,1096.3293324135425,168.82658915690726,689.9999999999998,20.29427808950827,14.947477252727772
optmodel,8,2048,prefill,opt-1p3b,bf16,780,1244.981784086961,192.78836775056212,66.38650693568728,1042.0079990237912,166.73142579067218,779.9999999999999,16.303353804652314,13.515826843662856
optmodel,8,2048,prefill,opt-1p3b,bf16,870,1140.320863042559,188.1910415938837,67.1727681438664,998.8510408343996,165.6346399322867,869.9999999999998,12.406141709158534,11.985906167772715
optmodel,8,2048,prefill,opt-1p3b,bf16,960,1072.6147174835205,184.33102805499237,67.75207138304653,964.0192974114184,164.75373690375463,960.0000000000002,10.124364163758601,10.620724767724484
optmodel,8,2048,prefill,opt-1p3b,bf16,1050,1006.735235452652,190.733810135521,69.2689369828135,935.0990639308844,168.1700213995065,1050.0000000000005,7.115691295890546,11.829988988309083
optmodel,8,2048,prefill,opt-1p3b,bf16,1140,953.4998734792074,204.68878200472483,71.36644951140065,910.271956979182,176.85653742223255,1140.0000000000002,4.533604849080035,13.597347304479943
optmodel,8,2048,prefill,opt-1p3b,bf16,1230,921.7435700552804,220.0701272106988,73.82659140796487,889.4989622183022,192.60090088231703,1210.2398871119474,3.498218906484419,12.482033193938339
optmodel,8,2048,prefill,opt-1p3b,bf16,1320,919.9883256639752,219.17571174421312,74.36230499840813,871.3739094190453,215.46002357744013,1217.7602674307543,5.284242733172057,1.695301061054315
optmodel,8,2048,prefill,opt-1p3b,bf16,1410,922.4459784371512,221.0572508443492,74.53047619047618,856.1007028859258,243.05941052915148,1219.6761904761906,7.1923209707771205,9.953149964890514
